X,Z
43.00207039,10.5009705
43.10904072,10.55111284
43.21601104,10.60125518
43.32298137,10.65139752
43.42995169,10.70153986
43.53692202,10.75168219
43.64389234,10.80182453
43.75086266,10.85196687
43.85783299,10.90210921
43.96480331,10.95225155
44.07177364,11.00239389
44.17874396,11.05253623
44.28571429,11.10267857
44.39268461,11.15282091
44.49965493,11.20296325
44.60662526,11.25310559
44.71359558,11.30324793
44.82056591,11.35339027
44.92753623,11.40353261
45.03450656,11.45367495
45.14147688,11.50381729
45.2484472,11.55395963
45.35541753,11.60410197
45.46238785,11.65424431
45.56935818,11.70438665
45.6763285,11.75452899
45.78329883,11.80467133
45.89026915,11.85481366
45.99723948,11.904956
46.1042098,11.95509834
46.21118012,12.00645007
46.31815045,12.06816372
46.42512077,12.12987737
46.5320911,12.19159102
46.63906142,12.25330467
46.74603175,12.31501832
46.85300207,12.37673196
46.95997239,12.43844561
47.06694272,12.50015926
47.17391304,12.56187291
47.28088337,12.62358656
47.38785369,12.68530021
47.49482402,12.74701386
47.60179434,12.8087275
47.70876467,12.87044115
47.81573499,12.9321548
47.92270531,12.99386845
48.02967564,13.0555821
48.13664596,13.11729575
48.24361629,13.1790094
48.35058661,13.24072305
48.45755694,13.30243669
48.56452726,13.36415034
48.67149758,13.42586399
48.77846791,13.48757764
48.88543823,13.52135956
48.99240856,13.54810214
49.09937888,13.57484472
49.20634921,13.6015873
49.31331953,13.62832988
49.42028986,13.65507246
49.52726018,13.68181504
49.6342305,13.70855763
49.74120083,13.73530021
49.84817115,13.76204279
49.95514148,13.78878537
50.0621118,13.81552795
50.16908213,13.84227053
50.27605245,13.86901311
50.38302277,13.89575569
50.4899931,13.92249827
50.59696342,13.94924086
50.70393375,13.97598344
50.81090407,14.00272602
50.9178744,14.0294686
51.02484472,14.05621118
51.13181504,14.08295376
51.23878537,14.10969634
51.34575569,14.13643892
51.45272602,14.1631815
51.55969634,14.18992409
51.66666667,14.21666667
51.77363699,14.24340925
51.88060732,14.27015183
